Intercept,Estimate
loan_age_qtr1,-7.960920614
loan_age_qtr2,-6.10382819
loan_age_qtr3,-5.767222633
loan_age_qtr4,-5.644280126
loan_age_qtr5,-5.3846761
loan_age_qtr6,-5.181108942
loan_age_qtr7,-5.023426429
loan_age_qtr8,-4.992711325
loan_age_qtr9,-5.093779406
loan_age_qtr10,-5.187704074
loan_age_qtr11,-5.262082238
loan_age_qtr12,-5.3325709
loan_age_qtr13,-5.274120241
loan_age_qtr14,-5.280219234
loan_age_qtr15,-5.229796344
loan_age_qtr16,-5.273290318
loan_age_qtr17,-5.315151198
loan_age_qtr18,-5.448453587
loan_age_qtr19,-5.564366292
loan_age_qtr20,-5.5414327
loan_age_qtr21,-5.437913395
loan_age_qtr22,-5.42786643
loan_age_qtr23,-5.446858134
loan_age_qtr24,-5.334814335
loan_age_qtr25,-5.337739161
loan_age_qtr26,-5.409934888
loan_age_qtr27,-5.4391274
loan_age_qtr28,-5.506713252
loan_age_qtr29,-5.316775712
loan_age_qtr30,-5.296226272
loan_age_qtr31,-5.291096231
loan_age_qtr32,-5.375651933
loan_age_qtr33,-5.448006049
loan_age_qtr34,-5.49418291
loan_age_qtr35,-5.56920917
loan_age_qtr36,-5.669373535
loan_age_qtr37,-5.65230668
loan_age_qtr38,-5.54628286
loan_age_qtr39,-5.547351245
loan_age_qtr40,-5.503324503
loan_age_qtr41,-5.648155019
loan_age_qtr42,-5.82624767
loan_age_qtr43,-5.830026357
loan_age_qtr44,-5.949526773
loan_age_qtr45,-6.031869057
loan_age_qtr46,-6.019189705
loan_age_qtr47,-5.916151911
loan_age_qtr48,-5.951774776
loan_age_qtr49,-5.965652369
loan_age_qtr50,-6.012067184
loan_age_qtr51,-6.104621429
loan_age_qtr52,-6.076413511
loan_age_qtr53,-6.180834906
loan_age_qtr54,-6.261239486
loan_age_qtr55,-6.052770426
loan_age_qtr56,-6.173810527
loan_age_qtr57,-6.077003586
loan_age_qtr58,-6.367653321
loan_age_qtr59,-6.340037163
loan_age_qtr60,-6.032830616
loan_age_qtr61,-6.127070667
loan_age_qtr62,-5.934266214
loan_age_qtr63,-6.139913248
loan_age_qtr64,-5.97276766
loan_age_qtr65,-6.116936628
loan_age_qtr66,-5.689561662
loan_age_qtr67,-6.300280515
loan_age_qtr68,-6.10362568
loan_age_qtr69,-5.807351541
loan_age_qtr70,-6.415182901
loan_age_qtr71,-5.835072832
loan_age_qtr72,-5.988214277
cnt_borr_2,0.079752289
channel_B,0.11836049
channel_C,0.045575169
loan_purpose_C,-0.002583349
loan_purpose_P,0.113734733
occpy_sts_I,-0.015845193
occpy_sts_S,-0.120160773
fico,0.000549948
fico_700,0.000367125
fico_760,-0.002800445
dti,0.000425165
dti_43,-0.001392385
oltv,0.006704041
oltv_45,0.001077046
oltv_75,0.001836921
cltv,-0.012569424
cltv_100,-0.005078009
rel_median_orig_upb,0.010356983
rel_median_orig_upb_80,-0.008218943
burnout_rate,0.015509069
burnout_rate_80,-0.034847576
change_in_hpi,0.0817
ref_incentive,0.6496
